id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
507990,Cozy studio apartment close to city,2503632,Anna,,Kungsholmens,59.33675,18.02664,Entire home/apt,8003,1,0,,,1,0
510398,Big Private Bedroom w/ Bathroom & Terrace View,373584,Ric,,Södermalms,59.30672,18.1069,Private room,969,4,9,2019-09-08,0.14,1,169
514133,City Apartment - 1 bedroom all furnished and fresh,2532579,Mira,,Norrmalms,59.33906,18.04498,Entire home/apt,1301,1,5,2018-11-01,0.06,1,270
514210,Room  with Forrest view,2532825,Margareta,,Farsta,59.25691,18.11615,Private room,587,2,53,2019-08-28,0.62,1,0
526170,Family friendly in central location,2586439,Magnus,,Östermalms,59.34616,18.09607,Entire home/apt,1399,4,10,2015-09-21,0.11,1,0
530454,Unique loft apartment,2605165,Jakob,,Enskede-Årsta-Vantörs,59.28098,18.09073,Entire home/apt,949,3,10,2019-09-20,6.82,1,0
533880,Nice room Erik Dahlbergsgatan,2624450,Jarl,,Östermalms,59.34384,18.08977,Private room,509,10,106,2018-08-08,1.20,1,0
536283,Studio apartment right in the city,2624970,Paolo,,Södermalms,59.31211,18.07801,Entire home/apt,1360,3,95,2019-09-14,1.11,1,328
536691,Charming flat in Södermalm,2636194,Cecilia,,Södermalms,59.3208,18.055,Entire home/apt,1066,4,87,2019-09-17,0.99,1,320
541875,"Nice, central 1-room studio flat ",1542406,Martin,,Östermalms,59.34447,18.09161,Entire home/apt,695,10,28,2019-09-03,0.32,1,19
543045,"1 room studioflat, Hornstull, STHLM",2670016,Anton,,Södermalms,59.31929,18.03214,Entire home/apt,998,4,26,2016-05-15,0.46,1,0
553914,Cozy studio 5 minutes from Central Station,2722006,Sibelle,,Norrmalms,59.3376,18.04908,Entire home/apt,597,2,19,2019-01-02,0.63,1,0
556363,Spacious apartment at top location,2735709,Lennard,,Norrmalms,59.34343,18.03734,Entire home/apt,1115,6,42,2019-05-28,0.79,1,8
560308,Great 2 bedroom apartment Stockholm,2755002,Checkin,,Bromma,59.33679,17.97682,Entire home/apt,1761,2,6,2018-11-05,0.07,3,330
565912,Savor Sea Views at a Sweet Retreat with Heaving Bookshelves,2782963,Patrik,,Hägersten-Liljeholmens,59.31569,18.00468,Entire home/apt,2514,4,20,2019-08-06,0.27,1,0
568341,Junior 1 bedroom Apartment Stockholm 2,2755002,Checkin,,Kungsholmens,59.33603,18.03005,Entire home/apt,1663,2,30,2019-09-14,4.37,3,0
575371,"Quiet room in a big central flat, private bathroom",2829979,Tomas,,Södermalms,59.31078,18.06056,Private room,792,3,17,2017-09-09,0.43,1,0
581243,Great Room in City Center,2860556,Edwin,,Östermalms,59.34044,18.09154,Private room,489,1,512,2019-09-01,5.84,1,0
608672,Cozy & quiet studio in a superb city location,3016996,Karin,,Norrmalms,59.3389,18.05652,Entire home/apt,646,2,384,2019-09-23,4.43,1,287
